mscdex/dicer
jenkinsci/nexus-platform-plugin
microcks/microcks
spring-projects/spring-framework
bcgit/bc-java
soot-oss/soot
webjars/swagger-ui
kubernetes-client/java
jline/jline3
rundeck/rundeck
apache/spark
square/okio
sebfz1/wicket-jquery-ui
snowflakedb/snowflake-jdbc
PowerJob/PowerJob
junrar/junrar
apache/incubator-linkis
typelevel/grackle
OpenRefine/OpenRefine
apache/incubator-streampark
PebbleTemplates/pebble
spring-projects/spring-batch
JSONPath-Plus/JSONPath
pagehelper/Mybatis-PageHelper
eclipse/rdf4j
jeremylong/DependencyCheck
line/armeria
yahoo/elide
webauthn4j/webauthn4j-spring-security
FasterXML/jackson-databind
brettwooldridge/NuProcess
GoogleContainerTools/jib
cbeust/testng
perwendel/spark
wiremock/wiremock
Netflix/genie
springfox/springfox
sigstore/sigstore-java
elastic/apm-agent-java
apache/incubator-eventmesh
spring-cloud/spring-cloud-gateway
Nepxion/Discovery
codecentric/spring-boot-admin
biscuit-auth/biscuit-java
scala/scala
webjars/bootstrap
javadelight/delight-nashorn-sandbox
apache/ambari
Azure/azure-sdk-for-java
twitter/twitter-server
yamcs/yamcs
spring-projects/spring-graphql
mulesoft/mule
line/centraldogma
HtmlUnit/htmlunit
alkacon/opencms-core
xwiki/xwiki-commons
neo4j/neo4j
kevinsawicki/http-request
mapbox/mapbox-events-android
mitreid-connect/OpenID-Connect-Java-Spring-Server
youseries/uflo
undertow-io/undertow
jdereg/json-io
apereo/cas
airlift/aircompressor
mongodb/mongo-java-driver
OpenTSDB/opentsdb
angular/bower-angular
FasterXML/jackson-datatype-jsr310
spring-projects/spring-integration-extensions
akka/akka
dom4j/dom4j
neo4j-contrib/neo4j-apoc-procedures
glazedlists/glazedlists
micronaut-projects/micronaut-core
wso2/product-apim
apache/druid
apache/openmeetings
plantuml/plantuml
Graylog2/graylog2-server
opensearch-project/security
FasterXML/woodstox
JetBrains/kotlin
spring-projects/spring-security
pgjdbc/pgjdbc
vaadin/vaadin-menu-bar
Adobe-Consulting-Services/acs-aem-commons
reactor/reactor-netty
nahsra/antisamy
gravitee-io/gravitee-api-management
apache/iotdb
alibaba/fastjson
aws/aws-sdk-java
noear/solon
apache/atlas
xuxueli/xxl-job
Microsoft/CDM
joniles/mpxj
FusionAuth/fusionauth-java-client
spring-cloud/spring-cloud-openfeign
arrow-kt/arrow
johnpapa/lite-server
SeleniumHQ/selenium
oblac/jodd
mvel/mvel
wso2/carbon-registry
craftercms/studio
grails/grails-core
browserup/browserup-proxy
spring-projects/spring-integration
wix/wix-embedded-mysql
twbs/bootstrap
AzureAD/microsoft-authentication-library-for-java
TooTallNate/Java-WebSocket
reportportal/service-api
apache/rocketmq
http4s/http4s
clojure/clojure
spring-cloud/spring-cloud-netflix
apache/ranger
pubnub/kotlin
spray/spray
liferay/liferay-portal
jquery/jquery
apache/parquet-mr
gemini-hlsw/gsp-graphql
ktorio/ktor
nielsbasjes/yauaa
swagger-api/swagger-ui
http4s/blaze
Netflix/Priam
mysql/mysql-connector-j
apache/archiva
akka/akka-http
zaproxy/zaproxy
aerospike/aerospike-client-java
HubSpot/jinjava
swaldman/c3p0
opencast/opencast
aws/amazon-redshift-jdbc-driver
pubnub/java
groovy/groovy-core
grpc/grpc-java
spring-projects/spring-kafka
samtools/htsjdk
apache/inlong
rabbitmq/rabbitmq-jms-client
TakahikoKawasaki/nv-websocket-client
lessthanoptimal/BoofCV
netty/netty
ratpack/ratpack
skylot/jadx
IntellectualSites/FastAsyncWorldEdit
spring-projects/spring-credhub
amzn/ion-java
elastic/elasticsearch
vivo-project/Vitro
jhy/jsoup
javamonkey/beetl2.0
vuetifyjs/vuetify
socketio/socket.io-client-java
OpenNMS/opennms
networknt/light-oauth2
vaadin/vaadin
jmrozanec/cron-utils
spring-cloud/spring-cloud-build
bonitasoft/bonita-engine
eclipse/lyo
charleskorn/kaml
neo4j/apoc
angular/angular.js
ClickHouse/clickhouse-jdbc
monitorjbl/excel-streaming-reader
cloudfoundry/uaa
spray/spray-json
wso2/transport-http
DataDog/datadog-api-client-java
eclipse-ee4j/parsson
jquery/jquery-ui
thymeleaf/thymeleaf-spring
eclipse-edc/Connector
CycloneDX/cyclonedx-core-java
j-easy/easy-rules
mapfish/mapfish-print
apache/incubator-heron
Netflix/conductor
quarkusio/quarkus
diffplug/goomph
micronaut-projects/micronaut-security
zeroturnaround/zt-zip
classgraph/classgraph
codelibs/fess
naver/ngrinder
spring-projects/spring-amqp
apache/seatunnel-web
matrix-org/matrix-android-sdk2
ant-media/Ant-Media-Server
unclebob/fitnesse
h2database/h2database
sbt/sbt
sbt/io
FasterXML/jackson-dataformats-text
spring-projects/spring-boot
Netflix/hollow
treasure-data/digdag
combust/mleap
apache/dolphinscheduler
hawtio/hawtio
membrane/soa-model
apache/systemds
strimzi/strimzi-kafka-operator
playframework/playframework
