j-easy/easy-rules
sebfz1/wicket-jquery-ui
reactor/reactor-netty
GoogleContainerTools/jib
sbt/io
combust/mleap
Netflix/genie
spring-projects/spring-security
twbs/bootstrap
spring-cloud/spring-cloud-gateway
grpc/grpc-java
opensearch-project/security
elastic/elasticsearch
spring-cloud/spring-cloud-build
wix/wix-embedded-mysql
ant-media/Ant-Media-Server
mvel/mvel
swagger-api/swagger-ui
skylot/jadx
neo4j/neo4j
CycloneDX/cyclonedx-core-java
grails/grails-core
wso2/carbon-registry
webjars/bootstrap
apache/incubator-eventmesh
HubSpot/jinjava
spray/spray
line/armeria
apache/dolphinscheduler
HtmlUnit/htmlunit
zeroturnaround/zt-zip
apache/iotdb
Azure/azure-sdk-for-java
Nepxion/Discovery
cloudfoundry/uaa
PowerJob/PowerJob
FasterXML/jackson-dataformats-text
spring-projects/spring-graphql
lessthanoptimal/BoofCV
airlift/aircompressor
alkacon/opencms-core
microcks/microcks
bcgit/bc-java
classgraph/classgraph
kubernetes-client/java
junrar/junrar
PebbleTemplates/pebble
nahsra/antisamy
apache/druid
spring-projects/spring-framework
apache/incubator-streampark
brettwooldridge/NuProcess
pgjdbc/pgjdbc
perwendel/spark
johnpapa/lite-server
TakahikoKawasaki/nv-websocket-client
springfox/springfox
neo4j/apoc
Graylog2/graylog2-server
DataDog/datadog-api-client-java
joniles/mpxj
treasure-data/digdag
elastic/apm-agent-java
strimzi/strimzi-kafka-operator
akka/akka
IntellectualSites/FastAsyncWorldEdit
spring-projects/spring-integration
pubnub/java
cbeust/testng
jquery/jquery-ui
naver/ngrinder
TooTallNate/Java-WebSocket
rundeck/rundeck
h2database/h2database
javadelight/delight-nashorn-sandbox
yamcs/yamcs
ClickHouse/clickhouse-jdbc
gemini-hlsw/gsp-graphql
vaadin/vaadin-menu-bar
scala/scala
apache/openmeetings
rabbitmq/rabbitmq-jms-client
spring-projects/spring-session
keycloak/keycloak
netty/netty
zaproxy/zaproxy
wso2/transport-http
aws/aws-sdk-java
spring-cloud/spring-cloud-openfeign
typelevel/grackle
webjars/swagger-ui
snowflakedb/snowflake-jdbc
vaadin/vaadin
micronaut-projects/micronaut-security
webauthn4j/webauthn4j-spring-security
yahoo/elide
spring-cloud/spring-cloud-netflix
aws/amazon-redshift-jdbc-driver
OpenRefine/OpenRefine
plantuml/plantuml
jmrozanec/cron-utils
AzureAD/microsoft-authentication-library-for-java
FusionAuth/fusionauth-java-client
samtools/htsjdk
thymeleaf/thymeleaf-spring
eclipse/lyo
alibaba/fastjson
glazedlists/glazedlists
codecentric/spring-boot-admin
aerospike/aerospike-client-java
OpenTSDB/opentsdb
charleskorn/kaml
eclipse-ee4j/parsson
mapfish/mapfish-print
jeremylong/DependencyCheck
eclipse-edc/Connector
micronaut-projects/micronaut-core
spring-projects/spring-batch
spring-projects/spring-amqp
playframework/playframework
quarkusio/quarkus
xuxueli/xxl-job
apereo/cas
jline/jline3
apache/inlong
Netflix/hollow
apache/incubator-heron
Netflix/conductor
jhy/jsoup
ratpack/ratpack
angular/angular.js
FasterXML/woodstox
arrow-kt/arrow
Netflix/Priam
pubnub/kotlin
http4s/http4s
mitreid-connect/OpenID-Connect-Java-Spring-Server
spring-projects/spring-credhub
codelibs/fess
apache/rocketmq
monitorjbl/excel-streaming-reader
mapbox/mapbox-events-android
unclebob/fitnesse
neo4j-contrib/neo4j-apoc-procedures
line/centraldogma
spring-projects/spring-boot
kevinsawicki/http-request
eclipse/rdf4j
sbt/sbt
oblac/jodd
diffplug/goomph
square/okio
FasterXML/jackson-datatype-jsr310
reportportal/service-api
Adobe-Consulting-Services/acs-aem-commons
jdereg/json-io
soot-oss/soot
http4s/blaze
opencast/opencast
akka/akka-http
wiremock/wiremock
browserup/browserup-proxy
spray/spray-json
wso2/product-apim
spring-projects/spring-integration-extensions
Microsoft/CDM
nielsbasjes/yauaa
vuetifyjs/vuetify
jquery/jquery
FasterXML/jackson-databind
ktorio/ktor
hawtio/hawtio
jenkinsci/nexus-platform-plugin
