,issues_new.csv,issues_closed.csv,issue_comments.csv,issue_response_time.csv,issue_resolution_duration.csv,issue_age.csv,code_change_lines_add.csv,code_change_lines_remove.csv,code_change_lines_sum.csv,change_requests.csv,change_requests_accepted.csv,change_requests_reviews.csv,change_request_response_time.csv,change_request_resolution_duration.csv,change_request_age.csv,bus_factor.csv,inactive_contributors.csv,activity.csv,new_contributors.csv,attention.csv,stars.csv,technical_fork.csv,participants.csv,openrank.csv
swaldman_c3p0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
j-easy_easy-rules,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sebfz1_wicket-jquery-ui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
reactor_reactor-netty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GoogleContainerTools_jib,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dom4j_dom4j,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
sbt_io,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
combust_mleap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
liferay_liferay-portal,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netflix_genie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spring-projects_spring-security,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
twbs_bootstrap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spring-cloud_spring-cloud-gateway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mulesoft_mule,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
grpc_grpc-java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
opensearch-project_security,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mysql_mysql-connector-j,,,1,,,,1,1,1,1,,,1,1,1,1,,1,,1,1,1,1,1
elastic_elasticsearch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spring-cloud_spring-cloud-build,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wix_wix-embedded-mysql,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ant-media_Ant-Media-Server,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mvel_mvel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
swagger-api_swagger-ui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
skylot_jadx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
undertow-io_undertow,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
neo4j_neo4j,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_archiva,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CycloneDX_cyclonedx-core-java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
grails_grails-core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wso2_carbon-registry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
webjars_bootstrap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_incubator-eventmesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_spark,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HubSpot_jinjava,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JetBrains_kotlin,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spray_spray,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
line_armeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_dolphinscheduler,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HtmlUnit_htmlunit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_atlas,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zeroturnaround_zt-zip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apache_iotdb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azure_azure-sdk-for-java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepxion_Discovery,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cloudfoundry_uaa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
