combined_name,group_id,artifact_id,latest_release,release_count,releases_with_cves,total_releases_cve_count,low_severity_count,moderate_severity_count,high_severity_count,critical_severity_count,unknown_severity_count
com.alipay.sofa:hessian,com.alipay.sofa,hessian,3.5.4,26,23,29,0,0,21,8,0
com.amazonaws:aws-encryption-sdk-java,com.amazonaws,aws-encryption-sdk-java,3.0.1,29,20,36,0,17,19,0,0
com.amazonaws:aws-dynamodb-encryption-java,com.amazonaws,aws-dynamodb-encryption-java,1.15.2,14,7,7,7,0,0,0,0
com.aerospike:aerospike-client,com.aerospike,aerospike-client,7.2.2,133,121,121,0,0,0,121,0
com.amazon.ion:ion-java,com.amazon.ion,ion-java,1.11.9,32,23,23,0,0,23,0,0
com.alibaba.nacos:nacos-spring-context,com.alibaba.nacos,nacos-spring-context,2.1.1-RC,16,13,13,0,0,13,0,0
com.alibaba.nacos:nacos-client,com.alibaba.nacos,nacos-client,1.4.8,74,51,51,0,0,51,0,0
com.alipay.sofa:rpc-sofa-boot-starter,com.alipay.sofa,rpc-sofa-boot-starter,3.24.0,71,63,63,0,0,0,63,0
com.alibaba:dubbo,com.alibaba,dubbo,2.6.12,60,24,104,0,44,0,60,0
com.alibaba:fastjson,com.alibaba,fastjson,2.0.52,344,250,265,0,0,104,161,0
com.alibaba.nacos:nacos-common,com.alibaba.nacos,nacos-common,1.4.8,74,51,158,0,80,78,0,0
com.amazonaws:aws-java-sdk-s3,com.amazonaws,aws-java-sdk-s3,1.12.770,1928,1420,1420,0,0,1420,0,0
com.alipay.sofa.acts:acts-common-util,com.alipay.sofa.acts,acts-common-util,1.0.0,1,1,1,0,1,0,0,0
com.alibaba:hessian-lite,com.alibaba,hessian-lite,3.2.13,13,12,12,0,0,0,12,0
com.azure:azure-storage-blob,com.azure,azure-storage-blob,12.27.1,85,50,50,0,50,0,0,0
com.atlassian.connect:atlassian-connect-spring-boot,com.atlassian.connect,atlassian-connect-spring-boot,5.1.1,78,28,28,0,0,28,0,0
com.baomidou:mybatis-plus,com.baomidou,mybatis-plus,3.5.7,116,109,109,0,0,0,109,0
com.azure:azure-identity,com.azure,azure-identity,1.13.2,103,96,96,0,96,0,0,0
com.atlassian.connect:atlassian-connect-spring-boot-starter,com.atlassian.connect,atlassian-connect-spring-boot-starter,5.1.1,77,27,27,0,27,0,0,0
com.azure:azure-core-amqp,com.azure,azure-core-amqp,2.9.8,82,19,19,0,0,19,0,0
com.caucho:resin,com.caucho,resin,4.0.66,11,2,2,0,0,2,0,0
com.clickhouse:clickhouse-jdbc,com.clickhouse,clickhouse-jdbc,0.6.4,33,21,42,0,21,21,0,0
com.clickhouse:clickhouse-client,com.clickhouse,clickhouse-client,0.6.4,33,21,42,0,21,21,0,0
com.coravy.hudson.plugins.github:github,com.coravy.hudson.plugins.github,github,0.1,2,2,10,2,4,4,0,0
com.caverock:androidsvg,com.caverock,androidsvg,1.4,7,5,5,0,0,5,0,0
com.clever-cloud:biscuit-java,com.clever-cloud,biscuit-java,2.2.1,26,22,22,0,0,0,22,0
com.charleskorn.kaml:kaml,com.charleskorn.kaml,kaml,0.61.0,69,60,101,0,41,60,0,0
com.clickhouse:clickhouse-r2dbc,com.clickhouse,clickhouse-r2dbc,0.6.4,18,6,12,0,6,6,0,0
com.bstek.ureport:ureport2-core,com.bstek.ureport,ureport2-core,2.2.9,26,26,104,0,0,52,52,0
com.browserup:browserup-proxy,com.browserup,browserup-proxy,2.1.2,8,7,7,0,0,7,0,0
com.bmuschko:gradle-vagrant-plugin,com.bmuschko,gradle-vagrant-plugin,3.0.0,3,2,2,0,0,2,0,0
com.bstek.uflo:uflo-core,com.bstek.uflo,uflo-core,2.1.5,13,13,13,0,0,0,13,0
com.cedarsoftware:json-io,com.cedarsoftware,json-io,4.26.0,117,89,89,0,0,89,0,0
com.bstek.ureport:ureport2-console,com.bstek.ureport,ureport2-console,2.2.9,26,26,52,0,0,26,26,0
com.codenameone:codenameone-core,com.codenameone,codenameone-core,7.0.159,137,59,59,0,0,0,59,0
com.drewnoakes:metadata-extractor,com.drewnoakes,metadata-extractor,2.19.0,20,18,36,0,36,0,0,0
com.diffplug.spotless:spotless-eclipse-wtp,com.diffplug.spotless,spotless-eclipse-wtp,3.23.0,19,1,1,0,1,0,0,0
com.diffplug.spotless:spotless-maven-plugin,com.diffplug.spotless,spotless-maven-plugin,2.44.0.BETA2,118,12,12,0,0,12,0,0
com.datadoghq:datadog-api-client,com.datadoghq,datadog-api-client,2.27.0,41,2,2,2,0,0,0,0
com.cronutils:cron-utils,com.cronutils,cron-utils,9.2.1,55,50,98,0,0,0,98,0
com.diffplug.spotless:spotless-eclipse-cdt,com.diffplug.spotless,spotless-eclipse-cdt,10.5.0,15,1,1,0,1,0,0,0
com.diamondq.common:common-thirdparty.jcasbin,com.diamondq.common,common-thirdparty.jcasbin,1.4.0,2,1,1,0,1,0,0,0
com.diffplug.gradle:goomph,com.diffplug.gradle,goomph,4.0.1,93,83,83,0,0,83,0,0
com.diffplug.spotless:spotless-plugin-gradle,com.diffplug.spotless,spotless-plugin-gradle,7.0.0.BETA2,146,28,28,0,0,28,0,0
com.ds.tools.hudson:crowd,com.ds.tools.hudson,crowd,1.0,2,2,2,0,2,0,0,0
com.ctrip.framework.apollo:apollo,com.ctrip.framework.apollo,apollo,2.0.1,19,19,63,0,38,19,6,0
com.ctrip.framework.apollo:apollo-core,com.ctrip.framework.apollo,apollo-core,2.3.0,22,12,12,0,0,12,0,0
com.diffplug.spotless:spotless-eclipse-groovy,com.diffplug.spotless,spotless-eclipse-groovy,4.3.0,15,2,2,0,2,0,0,0
com.cosium.vet:vet,com.cosium.vet,vet,3.22,27,27,27,0,27,0,0,0
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.17.2,156,73,138,0,0,73,65,0
com.fasterxml.util:java-merge-sort,com.fasterxml.util,java-merge-sort,1.1.0,11,10,10,0,10,0,0,0
com.fasterxml.jackson.dataformat:jackson-dataformats-text,com.fasterxml.jackson.dataformat,jackson-dataformats-text,2.17.2,70,57,57,0,0,57,0,0
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,com.fasterxml.jackson.dataformat,jackson-dataformat-cbor,2.17.2,130,46,46,0,0,46,0,0
com.fastasyncworldedit:FastAsyncWorldEdit-Core,com.fastasyncworldedit,FastAsyncWorldEdit-Core,2.11.1,38,23,23,0,23,0,0,0
com.erudika:para-core,com.erudika,para-core,1.50.2,121,102,204,0,102,0,102,0
com.facebook.presto:presto-jdbc,com.facebook.presto,presto-jdbc,0.288.1,294,287,287,0,0,287,0,0
com.esotericsoftware.yamlbeans:yamlbeans,com.esotericsoftware.yamlbeans,yamlbeans,1.17,9,8,16,0,8,8,0,0
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.17.2,139,80,80,0,80,0,0,0
com.fasterxml.jackson.core:jackson-databind,com.fasterxml.jackson.core,jackson-databind,2.17.2,199,170,6429,0,214,3923,2292,0
com.fastasyncworldedit:FastAsyncWorldEdit-Bukkit,com.fastasyncworldedit,FastAsyncWorldEdit-Bukkit,2.11.1,38,23,23,0,23,0,0,0
com.exadel.flamingo.flex:amf-serializer,com.exadel.flamingo.flex,amf-serializer,1.5.0,2,2,2,0,0,0,2,0
com.fasterxml.woodstox:woodstox-core,com.fasterxml.woodstox,woodstox-core,7.0.0,36,27,108,54,27,27,0,0
com.epam.reportportal:service-api,com.epam.reportportal,service-api,5.11.2,34,32,80,0,32,48,0,0
com.github.binarywang:weixin-java-common,com.github.binarywang,weixin-java-common,4.6.3.B,263,129,129,0,0,0,129,0
com.github.fracpete:vfsjfilechooser2,com.github.fracpete,vfsjfilechooser2,0.2.9,3,2,2,0,0,2,0,0
