combined_name,group_id,artifact_id,latest_release,release_count,releases_with_cves,total_releases_cve_count,low_severity_count,moderate_severity_count,high_severity_count,critical_severity_count,unknown_severity_count
com.vaadin:vaadin-server,com.vaadin,vaadin-server,7.7.44,254,210,567,0,431,136,0,0
com.typesafe.play:play-ws_2.12,com.typesafe.play,play-ws_2.12,2.8.22,87,29,29,0,0,29,0,0
com.virjar:ratel-api,com.virjar,ratel-api,1.3.6,10,10,10,0,10,0,0,0
com.typesafe.akka:akka-actor_2.12,com.typesafe.akka,akka-actor_2.12,2.8.6,99,16,16,0,0,0,16,0
com.vaadin:flow-client,com.vaadin,flow-client,2.11.0,415,10,10,0,10,0,0,0
com.wire:lithium,com.wire,lithium,3.6.4,26,10,10,0,0,10,0,0
com.typesafe.akka:akka-actor_2.11,com.typesafe.akka,akka-actor_2.11,2.5.32,90,16,16,0,0,0,16,0
com.vaadin:vaadin-text-field-flow,com.vaadin,vaadin-text-field-flow,24.4.10,368,21,21,0,0,21,0,0
com.webauthn4j:webauthn4j-spring-security-core,com.webauthn4j,webauthn4j-spring-security-core,0.10.0.RELEASE,11,9,9,0,9,0,0,0
com.typesafe.akka:akka-http-core_2.12,com.typesafe.akka,akka-http-core_2.12,10.5.3,60,59,70,0,59,11,0,0
com.whaleal.icefrog:icefrog-all,com.whaleal.icefrog,icefrog-all,1.1.8,12,11,11,0,11,0,0,0
com.typesafe.play:play_2.13,com.typesafe.play,play_2.13,2.9.5,57,34,49,0,34,15,0,0
com.typesafe.akka:akka-http-core,com.typesafe.akka,akka-http-core,3.0.0-RC1,1,1,2,0,2,0,0,0
com.typesafe.play:play_2.12,com.typesafe.play,play_2.12,2.8.22,85,78,144,0,125,19,0,0
com.vaadin:vaadin-compatibility-server,com.vaadin,vaadin-compatibility-server,8.26.0,96,68,68,0,0,68,0,0
com.unboundid:unboundid-ldapsdk,com.unboundid,unboundid-ldapsdk,7.0.1,61,30,30,0,0,0,30,0
com.typesafe.akka:akka-http-core_2.11,com.typesafe.akka,akka-http-core_2.11,10.1.15,58,58,91,0,58,33,0,0
com.upokecenter:cbor,com.upokecenter,cbor,4.5.6,52,44,44,0,0,44,0,0
com.vaadin:vaadin-checkbox-flow,com.vaadin,vaadin-checkbox-flow,24.4.10,353,38,38,0,38,0,0,0
com.twitter:twitter-server_2.12,com.twitter,twitter-server_2.12,24.2.0,67,47,47,0,47,0,0,0
com.vaadin:flow-server,com.vaadin,flow-server,2.11.0,415,293,1208,406,732,70,0,0
com.vaadin:vaadin-grid-flow,com.vaadin,vaadin-grid-flow,24.4.10,402,23,23,0,23,0,0,0
com.wix:wix-embedded-mysql,com.wix,wix-embedded-mysql,4.6.2,42,42,42,0,0,0,42,0
com.typesafe.akka:akka-http-core_2.13,com.typesafe.akka,akka-http-core_2.13,10.5.3,33,31,31,0,31,0,0,0
com.vaadin:vaadin-bom,com.vaadin,vaadin-bom,24.4.10,634,291,1323,125,827,371,0,0
commons-net:commons-net,commons-net,commons-net,3.11.1,27,21,21,0,21,0,0,0
commons-fileupload:commons-fileupload,commons-fileupload,commons-fileupload,1.5,14,13,57,5,0,41,11,0
com.xnx3.wangmarket:wangmarket,com.xnx3.wangmarket,wangmarket,5.6.17,4,4,4,0,4,0,0,0
de.codecentric:spring-boot-admin,de.codecentric,spring-boot-admin,3.3.3,128,91,91,0,0,91,0,0
commons-httpclient:commons-httpclient,commons-httpclient,commons-httpclient,3.1,36,6,6,0,6,0,0,0
de.codecentric:spring-boot-admin-server,de.codecentric,spring-boot-admin-server,3.3.3,128,103,103,0,0,103,0,0
com.zaxxer:nuprocess,com.zaxxer,nuprocess,2.0.6,29,12,12,0,0,12,0,0
commons-jxpath:commons-jxpath,commons-jxpath,commons-jxpath,1.3,4,4,8,0,4,0,4,0
commons-beanutils:commons-beanutils,commons-beanutils,commons-beanutils,1.9.4,22,18,26,0,0,26,0,0
commons-io:commons-io,commons-io,commons-io,2.16.1,29,23,31,0,16,15,0,0
com.wutka:jox,com.wutka,jox,1.16,1,1,1,0,1,0,0,0
com.xuxueli:xxl-job-core,com.xuxueli,xxl-job-core,2.4.1,28,28,128,27,24,53,24,0
com.yahoo.elide:elide-core,com.yahoo.elide,elide-core,7.1.0,214,140,140,0,0,140,0,0
com.yahoo.elide:elide-datastore-aggregation,com.yahoo.elide,elide-datastore-aggregation,7.1.0,56,1,1,0,0,1,0,0
com.xuxueli:xxl-rpc-core,com.xuxueli,xxl-rpc-core,1.7.0,12,12,24,0,0,0,24,0
de.averbis.textanalysis:pear-archetype,de.averbis.textanalysis,pear-archetype,2.0.2,6,1,1,0,0,0,1,0
commons-jelly:commons-jelly,commons-jelly,commons-jelly,1.0.1,60,39,39,0,0,0,39,0
com.xuxueli:xxl-job,com.xuxueli,xxl-job,2.4.1,28,27,259,0,103,156,0,0
commons-collections:commons-collections,commons-collections,commons-collections,3.2.2,17,12,24,0,0,12,12,0
de.grobmeier.json:jjson,de.grobmeier.json,jjson,0.1.7,3,3,3,0,0,3,0,0
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.api.datasets-asl,de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.api.datasets-asl,1.10.0,5,5,5,0,0,5,0,0
de.ipb-halle:molecularfaces,de.ipb-halle,molecularfaces,1.0.0,4,1,1,0,1,0,0,0
de.mhus.ports:vaadin-shared-deps,de.mhus.ports,vaadin-shared-deps,7.4.0,11,11,11,0,11,0,0,0
de.tum.in.ase:artemis-java-test-sandbox,de.tum.in.ase,artemis-java-test-sandbox,1.13.0,45,41,180,0,0,180,0,0
de.gematik.refv.commons:commons,de.gematik.refv.commons,commons,2.5.0,21,21,21,0,0,21,0,0
edu.stanford.nlp:stanford-parser,edu.stanford.nlp,stanford-parser,3.9.2,17,17,17,0,0,0,17,0
edu.gemini:gsp-graphql-core_native0.4_2.13,edu.gemini,gsp-graphql-core_native0.4_2.13,0.14.0,2,2,2,0,0,2,0,0
edu.gemini:gsp-graphql-core_native0.4_3,edu.gemini,gsp-graphql-core_native0.4_3,0.14.0,2,2,2,0,0,2,0,0
edu.vt.middleware:vt-ldap,edu.vt.middleware,vt-ldap,3.3.9,9,7,7,0,7,0,0,0
edu.stanford.nlp:stanford-corenlp,edu.stanford.nlp,stanford-corenlp,4.5.7,36,27,131,0,27,25,79,0
dom4j:dom4j,dom4j,dom4j,20040902.021138,18,17,34,0,0,17,17,0
edu.gemini:gsp-graphql-core_sjs1_3,edu.gemini,gsp-graphql-core_sjs1_3,0.14.0,2,2,2,0,0,2,0,0
edu.gemini:gsp-graphql-core_sjs1_2.13,edu.gemini,gsp-graphql-core_sjs1_2.13,0.14.0,2,2,2,0,0,2,0,0
dnsjava:dnsjava,dnsjava,dnsjava,3.6.1,32,30,38,0,8,30,0,0
edu.gemini:gsp-graphql-core_2.13,edu.gemini,gsp-graphql-core_2.13,0.14.0,89,89,89,0,0,89,0,0
edu.gemini:gsp-graphql-core_3,edu.gemini,gsp-graphql-core_3,0.14.0,45,45,45,0,0,45,0,0
fish.payara.api:payara-bom,fish.payara.api,payara-bom,6.2024.8,49,20,20,0,0,20,0,0
eu.hinsch:spring-boot-actuator-logview,eu.hinsch,spring-boot-actuator-logview,0.2.13,15,14,14,0,0,14,0,0
hudson.plugins:starteam,hudson.plugins,starteam,0.6.3,7,7,7,0,0,7,0,0
io.apiman:apiman-manager-api-rest-impl,io.apiman,apiman-manager-api-rest-impl,3.1.3.Final,78,74,100,0,74,26,0,0
geronimo:geronimo-console-standard,geronimo,geronimo-console-standard,1.1,4,2,2,0,2,0,0,0
hudson.plugins.klaros:klaros-testmanagement,hudson.plugins.klaros,klaros-testmanagement,1.0,2,2,2,0,2,0,0,0
io.arrow-kt:arrow-ank-gradle,io.arrow-kt,arrow-ank-gradle,1.0.1,19,3,3,0,3,0,0,0
hudson.plugins.filesystem_scm:filesystem_scm,hudson.plugins.filesystem_scm,filesystem_scm,1.9,5,5,5,0,5,0,0,0
io.apiman:apiman-distro-vertx,io.apiman,apiman-distro-vertx,3.1.3.Final,37,29,29,0,0,29,0,0
io.apiman:apiman-gateway-platforms-vertx,io.apiman,apiman-gateway-platforms-vertx,1.1.5.Final,8,8,8,0,0,8,0,0
fr.turri:aXMLRPC,fr.turri,aXMLRPC,1.14.0,9,6,6,0,0,0,6,0
io.antmedia:ant-media-server,io.antmedia,ant-media-server,2.10.0,59,58,67,0,58,9,0,0
hudson.plugins.sctmexecutor:SCTMExecutor,hudson.plugins.sctmexecutor,SCTMExecutor,1.1.1,10,10,10,0,10,0,0,0
io.airlift:aircompressor,io.airlift,aircompressor,2.0.2,28,24,24,0,0,24,0,0
io.dataease:dataease-plugin-common,io.dataease,dataease-plugin-common,1.18.16,37,30,127,0,13,70,44,0
io.atomix:atomix,io.atomix,atomix,3.1.12,102,96,672,0,288,384,0,0
io.digdag:digdag-server,io.digdag,digdag-server,0.10.5.1,8,7,7,0,7,0,0,0
io.dropwizard:dropwizard-validation,io.dropwizard,dropwizard-validation,5.0.0-alpha.2,208,101,101,0,0,101,0,0
io.fusionauth:fusionauth-java-client,io.fusionauth,fusionauth-java-client,1.52.0,63,5,5,0,0,5,0,0
io.github.1tchy.java9modular.org.apache.commons:commons-compress,io.github.1tchy.java9modular.org.apache.commons,commons-compress,1.21.0,3,1,1,0,0,1,0,0
io.fabric8:fabric8-maven-plugin,io.fabric8,fabric8-maven-plugin,4.4.2,460,10,10,0,0,10,0,0
io.fabric8:kubernetes-client,io.fabric8,kubernetes-client,6.13.3,296,53,55,0,22,33,0,0
io.github.classgraph:classgraph,io.github.classgraph,classgraph,4.8.175,251,189,189,0,189,0,0,0
io.github.javaezlib:JavaEZ,io.github.javaezlib,JavaEZ,1.7,5,1,1,0,0,1,0,0
io.github.karlatemp:unsafe-accessor,io.github.karlatemp,unsafe-accessor,1.7.0,10,5,5,0,5,0,0,0
io.github.microcks:microcks,io.github.microcks,microcks,1.10.0-fix-1,49,49,49,0,0,0,49,0
io.github.microcks:microcks-app,io.github.microcks,microcks-app,1.10.0-fix-1,39,37,37,0,37,0,0,0
io.github.skylot:jadx-plugins-api,io.github.skylot,jadx-plugins-api,1.4.7,13,10,10,0,10,0,0,0
io.github.talelin:lin-cms-core,io.github.talelin,lin-cms-core,0.2.0-RELEASE,13,13,26,0,13,13,0,0
io.github.skylot:jadx-core,io.github.skylot,jadx-core,1.5.0,14,13,22,13,9,0,0,0
io.jooby:jooby-netty,io.jooby,jooby-netty,3.2.9,95,15,15,0,0,0,15,0
io.gitlab.arturbosch.detekt:detekt-core,io.gitlab.arturbosch.detekt,detekt-core,1.23.6,88,70,70,0,0,70,0,0
io.hawt:hawtio-core,io.hawt,hawtio-core,2.17.7,165,123,123,0,0,0,123,0
io.grpc:grpc-protobuf,io.grpc,grpc-protobuf,1.66.0,166,136,408,0,136,272,0,0
io.jsonwebtoken:jjwt-impl,io.jsonwebtoken,jjwt-impl,0.12.6,21,20,20,0,20,0,0,0
io.jstach:jstachio,io.jstach,jstachio,1.3.6,33,21,21,0,21,0,0,0
io.jooby:jooby,io.jooby,jooby,3.2.9,95,30,30,0,30,0,0,0
io.hawt:project,io.hawt,project,4.1.0,190,161,457,0,161,199,97,0
io.gravitee.apim:gravitee-api-management,io.gravitee.apim,gravitee-api-management,4.4.7,270,68,68,0,0,68,0,0
io.netty:netty-codec-haproxy,io.netty,netty-codec-haproxy,4.2.0.Alpha3,160,129,129,0,129,0,0,0
io.netty:netty-codec,io.netty,netty-codec,4.2.0.Alpha3,211,161,302,0,0,302,0,0
io.kubernetes:client-java,io.kubernetes,client-java,21.0.1-legacy,63,29,53,0,29,24,0,0
io.micronaut:micronaut-http-server-tck,io.micronaut,micronaut-http-server-tck,4.6.3,102,3,3,0,3,0,0,0
io.ktor:ktor,io.ktor,ktor,3.0.0-beta-2,71,48,96,0,96,0,0,0
io.micronaut.security:micronaut-security-oauth2,io.micronaut.security,micronaut-security-oauth2,4.10.0,112,37,37,0,37,0,0,0
io.micronaut:micronaut-http-client,io.micronaut,micronaut-http-client,4.6.3,242,31,31,0,0,0,31,0
io.netty:netty-codec-http2,io.netty,netty-codec-http2,4.2.0.Alpha3,129,112,185,0,73,112,0,0
io.netty:netty-parent,io.netty,netty-parent,4.2.0.Alpha3,211,29,29,0,0,29,0,0
io.kroxylicious:kroxylicious-runtime,io.kroxylicious,kroxylicious-runtime,0.7.0,6,6,6,0,0,6,0,0
io.netty.incubator:netty-incubator-codec-bhttp,io.netty.incubator,netty-incubator-codec-bhttp,0.0.15.Final,15,12,12,0,0,12,0,0
io.micronaut:micronaut-http-server-netty,io.micronaut,micronaut-http-server-netty,4.6.3,242,143,221,0,143,78,0,0
io.ktor:ktor-client-cio,io.ktor,ktor-client-cio,3.0.0-beta-2,71,21,21,21,0,0,0,0
io.micronaut:micronaut-http-server,io.micronaut,micronaut-http-server,4.6.3,242,143,143,0,143,0,0,0
io.netty:netty-all,io.netty,netty-all,4.2.0.Alpha3,203,127,159,0,32,127,0,0
io.netty:netty-codec-http,io.netty,netty-codec-http,4.2.0.Alpha3,211,201,635,0,518,0,117,0
io.micronaut:micronaut-http,io.micronaut,micronaut-http,4.6.3,242,105,105,0,105,0,0,0
io.ktor:ktor-client-core,io.ktor,ktor-client-core,3.0.0-beta-2,71,21,21,0,21,0,0,0
io.netty:netty-handler,io.netty,netty-handler,4.2.0.Alpha3,211,193,527,0,405,122,0,0
io.ktor:ktor-server-cio,io.ktor,ktor-server-cio,3.0.0-beta-2,70,20,20,20,0,0,0,0
io.netty.incubator:netty-incubator-codec-ohttp,io.netty.incubator,netty-incubator-codec-ohttp,0.0.15.Final,15,8,8,0,8,0,0,0
io.netty:netty,io.netty,netty,3.10.6.Final,71,71,576,0,306,199,71,0
io.projectreactor.netty:reactor-netty,io.projectreactor.netty,reactor-netty,1.1.22,122,11,11,0,0,11,0,0
io.quarkus:quarkus-csrf-reactive,io.quarkus,quarkus-csrf-reactive,3.14.1,136,53,53,0,0,53,0,0
io.ratpack:ratpack-core,io.ratpack,ratpack-core,1.10.0-milestone-32,102,68,259,0,62,129,68,0
io.projectreactor.netty:reactor-netty-http,io.projectreactor.netty,reactor-netty-http,1.1.22,72,52,65,0,13,52,0,0
io.quarkus:quarkus-smallrye-graphql-client,io.quarkus,quarkus-smallrye-graphql-client,3.14.1,209,151,151,0,0,151,0,0
io.quarkus:quarkus-resteasy-reactive-common,io.quarkus,quarkus-resteasy-reactive-common,3.14.1,235,188,188,0,188,0,0,0
io.pebbletemplates:pebble,io.pebbletemplates,pebble,3.2.2,27,23,23,0,0,0,23,0
io.quarkus:quarkus-kubernetes-deployment,io.quarkus,quarkus-kubernetes-deployment,3.14.1,317,276,276,276,0,0,0,0
io.quarkus:quarkus-resteasy-reactive-common-deployment,io.quarkus,quarkus-resteasy-reactive-common-deployment,3.14.1,235,188,188,0,188,0,0,0
io.quarkus:quarkus-vertx-http-deployment,io.quarkus,quarkus-vertx-http-deployment,3.14.1,300,172,172,0,0,0,172,0
io.quarkiverse.cxf:quarkus-cxf,io.quarkiverse.cxf,quarkus-cxf,3.14.0,95,95,95,0,95,0,0,0
io.pivotal.spring.cloud:spring-cloud-sso-connector,io.pivotal.spring.cloud,spring-cloud-sso-connector,2.1.3.RELEASE,8,1,1,0,0,1,0,0
io.projectreactor.netty:reactor-netty-core,io.projectreactor.netty,reactor-netty-core,1.1.22,72,52,52,0,0,52,0,0
io.quarkus.resteasy.reactive:resteasy-reactive-common,io.quarkus.resteasy.reactive,resteasy-reactive-common,3.14.1,235,137,137,137,0,0,0,0
io.quarkus.resteasy.reactive:resteasy-reactive,io.quarkus.resteasy.reactive,resteasy-reactive,3.14.1,235,195,324,0,195,129,0,0
io.prestosql:presto-server,io.prestosql,presto-server,350,51,37,37,0,0,37,0,0
io.prometheus.jmx:jmx_prometheus_httpserver,io.prometheus.jmx,jmx_prometheus_httpserver,1.0.1,27,1,1,0,1,0,0,0
io.ratpack:ratpack-groovy,io.ratpack,ratpack-groovy,1.10.0-milestone-32,102,55,55,55,0,0,0,0
io.ratpack:ratpack-session,io.ratpack,ratpack-session,1.10.0-milestone-32,102,68,191,55,136,0,0,0
io.pebbletemplates:pebble-project,io.pebbletemplates,pebble-project,3.2.2,21,15,15,0,0,0,15,0
io.quarkus:quarkus-vertx-http,io.quarkus,quarkus-vertx-http,3.14.1,300,217,562,0,172,390,0,0
io.quarkus:quarkus-core-parent,io.quarkus,quarkus-core-parent,3.14.1,319,4,4,0,0,0,4,0
io.quarkus:quarkus-oidc,io.quarkus,quarkus-oidc,3.14.1,297,168,168,0,0,168,0,0
io.quarkus:quarkus-project,io.quarkus,quarkus-project,3.14.1,86,27,27,0,0,27,0,0
io.quarkus:quarkus-keycloak-authorization,io.quarkus,quarkus-keycloak-authorization,3.14.1,293,210,210,0,0,210,0,0
io.quarkus:quarkus-core,io.quarkus,quarkus-core,3.14.1,319,289,502,0,213,289,0,0
io.prometheus.jmx:jmx_prometheus_httpserver_java6,io.prometheus.jmx,jmx_prometheus_httpserver_java6,0.18.0,4,4,4,0,4,0,0,0
io.quarkus:quarkus-cache,io.quarkus,quarkus-cache,3.14.1,282,22,22,0,22,0,0,0
io.quarkus:quarkus-undertow,io.quarkus,quarkus-undertow,3.14.1,319,236,236,0,0,236,0,0
io.vertx:vertx-stomp,io.vertx,vertx-stomp,4.5.9,119,90,90,0,90,0,0,0
io.swagger:swagger-codegen,io.swagger,swagger-codegen,2.4.43,58,31,78,31,31,16,0,0
io.spray:spray-json_2.10,io.spray,spray-json_2.10,1.3.6,9,7,14,0,0,14,0,0
io.swagger:swagger-parser,io.swagger,swagger-parser,1.0.71,74,31,62,0,0,62,0,0
io.springfox:springfox-swagger-ui,io.springfox,springfox-swagger-ui,3.0.0,24,17,17,0,0,0,17,0
io.strimzi:strimzi,io.strimzi,strimzi,0.43.0,53,51,51,0,0,51,0,0
io.smallrye.config:smallrye-config,io.smallrye.config,smallrye-config,3.9.1,101,4,4,0,4,0,0,0
io.spray:spray-json_2.12,io.spray,spray-json_2.12,1.3.6,5,3,6,0,0,6,0,0
io.undertow:undertow-parent,io.undertow,undertow-parent,2.3.16.Final,324,292,292,0,0,292,0,0
io.vertx:vertx-grpc-server,io.vertx,vertx-grpc-server,4.5.9,29,29,29,0,29,0,0,0
io.undertow:undertow-servlet,io.undertow,undertow-servlet,2.3.16.Final,324,239,239,0,0,239,0,0
io.spray:spray-json_2.11,io.spray,spray-json_2.11,1.3.6,8,6,12,0,0,12,0,0
io.socket:socket.io-client,io.socket,socket.io-client,2.1.1,16,13,13,0,0,13,0,0
io.smallrye:smallrye-health-ui,io.smallrye,smallrye-health-ui,4.1.0,27,14,14,0,14,0,0,0
io.vertx:vertx-grpc-client,io.vertx,vertx-grpc-client,4.5.9,29,29,29,0,29,0,0,0
io.takari:commons-compress,io.takari,commons-compress,1.12,1,1,1,0,1,0,0,0
io.vertx:vertx-core,io.vertx,vertx-core,4.5.9,152,40,73,0,73,0,0,0
io.undertow:undertow-core,io.undertow,undertow-core,2.3.16.Final,324,324,7895,0,2980,4145,770,0
io.vertx:vertx-web,io.vertx,vertx-web,4.5.9,122,81,126,0,34,26,66,0
io.whitesource:curekit,io.whitesource,curekit,1.1.4,8,6,6,0,0,6,0,0
junit:junit,junit,junit,4.13.2,32,18,18,0,18,0,0,0
log4j:log4j,log4j,log4j,1.2.17,14,14,68,0,0,27,41,0
ml.combust.mleap:mleap-runtime_2.12,ml.combust.mleap,mleap-runtime_2.12,0.23.1,13,12,12,0,0,12,0,0
net.bull.javamelody:javamelody-core,net.bull.javamelody,javamelody-core,2.2.0,92,65,201,0,86,0,115,0
net.bramp.ffmpeg:ffmpeg,net.bramp.ffmpeg,ffmpeg,0.8.0,10,9,9,0,0,0,9,0
mysql:mysql-connector-java,mysql,mysql-connector-java,8.0.33,92,86,454,53,278,123,0,0
ml.shifu:shifu,ml.shifu,shifu,0.12.0,9,9,9,0,9,0,0,0
net.hasor:cobble-lang,net.hasor,cobble-lang,4.6.4,19,10,10,0,10,0,0,0
net.minidev:json-smart,net.minidev,json-smart,2.5.1,33,28,48,0,15,33,0,0
net.lingala.zip4j:zip4j,net.lingala.zip4j,zip4j,2.11.5,51,48,101,0,101,0,0,0
net.mingsoft:ms-basic,net.mingsoft,ms-basic,2.2.4,79,56,109,0,53,56,0,0
net.liftweb:lift-webkit,net.liftweb,lift-webkit,2.0,23,23,23,0,23,0,0,0
net.opentsdb:opentsdb,net.opentsdb,opentsdb,2.4.1,13,13,75,0,16,13,46,0
net.minidev:json-smart-mini,net.minidev,json-smart-mini,1.3.2,3,2,2,0,2,0,0,0
net.pwall.json:jsonutil,net.pwall.json,jsonutil,5.1,10,9,9,0,0,0,9,0
net.mingsoft:ms-mcms,net.mingsoft,ms-mcms,5.4.1,29,26,492,23,37,203,229,0
nl.basjes.parse.useragent:yauaa-snowflake,nl.basjes.parse.useragent,yauaa-snowflake,7.27.0,47,9,9,0,0,9,0,0
net.sf.mpxj:mpxj,net.sf.mpxj,mpxj,13.3.0,200,200,454,154,200,0,100,0
net.sourceforge.htmlcleaner:htmlcleaner,net.sourceforge.htmlcleaner,htmlcleaner,2.29,29,28,28,0,0,28,0,0
net.sourceforge.plantuml:plantuml-mit,net.sourceforge.plantuml,plantuml-mit,1.2024.6,13,2,4,0,2,2,0,0
nl.basjes.parse.useragent:yauaa-drill,nl.basjes.parse.useragent,yauaa-drill,7.27.0,80,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa-elasticsearch-8,nl.basjes.parse.useragent,yauaa-elasticsearch-8,7.27.0,37,9,9,0,0,9,0,0
no.priv.garshol.duke:duke,no.priv.garshol.duke,duke,1.2,4,4,4,0,0,0,4,0
net.sourceforge.htmlunit:neko-htmlunit,net.sourceforge.htmlunit,neko-htmlunit,2.70.0,48,38,42,0,0,42,0,0
nl.basjes.parse.useragent:yauaa-logparser,nl.basjes.parse.useragent,yauaa-logparser,7.27.0,100,9,9,0,0,9,0,0
net.sourceforge.pmd:pmd-core,net.sourceforge.pmd,pmd-core,7.4.0,99,33,33,0,0,33,0,0
nl.basjes.parse.useragent:yauaa-hive,nl.basjes.parse.useragent,yauaa-hive,7.27.0,87,9,9,0,0,9,0,0
ognl:ognl,ognl,ognl,3.4.3,98,27,27,0,27,0,0,0
nl.basjes.parse.useragent:yauaa-trino,nl.basjes.parse.useragent,yauaa-trino,7.27.0,39,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa,nl.basjes.parse.useragent,yauaa,7.27.0,104,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa-beam,nl.basjes.parse.useragent,yauaa-beam,7.27.0,87,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa-elasticsearch,nl.basjes.parse.useragent,yauaa-elasticsearch,7.27.0,55,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa-flink,nl.basjes.parse.useragent,yauaa-flink,7.27.0,87,9,9,0,0,9,0,0
net.sourceforge.collections:collections-generic,net.sourceforge.collections,collections-generic,4.01,1,1,1,0,0,0,1,0
net.sf.sojo:sojo,net.sf.sojo,sojo,1.1.1,4,4,4,0,0,4,0,0
net.sourceforge.htmlunit:htmlunit,net.sourceforge.htmlunit,htmlunit,2.70.0,78,78,118,0,0,40,78,0
net.sourceforge.plantuml:plantuml,net.sourceforge.plantuml,plantuml,1.2024.6,257,99,99,0,0,99,0,0
net.snowflake:snowflake-jdbc,net.snowflake,snowflake-jdbc,3.18.0,163,163,276,0,130,146,0,0
nl.basjes.parse.useragent:yauaa-beam-sql,nl.basjes.parse.useragent,yauaa-beam-sql,7.27.0,51,9,9,0,0,9,0,0
nl.basjes.parse.useragent:yauaa-flink-table,nl.basjes.parse.useragent,yauaa-flink-table,7.27.0,68,9,9,0,0,9,0,0
org.apache.ambari:ambari,org.apache.ambari,ambari,2.0.0.0,2,2,9,0,9,0,0,0
org.apache.ant:ant,org.apache.ant,ant,1.10.14,39,34,92,0,91,1,0,0
org.apache.archiva:archiva-common,org.apache.archiva,archiva-common,2.2.10,36,36,82,0,48,34,0,0
org.apache.camel:camel-core,org.apache.camel,camel-core,4.0.6,242,225,720,81,190,444,5,0
org.apache.activemq:activemq-openwire-generator,org.apache.activemq,activemq-openwire-generator,6.1.3,85,9,9,9,0,0,0,0
org.apache.activemq:activemq-web-demo,org.apache.activemq,activemq-web-demo,6.1.3,85,16,16,0,16,0,0,0
org.apache.archiva:archiva,org.apache.archiva,archiva,2.2.10,36,36,213,0,135,78,0,0
org.apache.activemq:apollo-project,org.apache.activemq,apollo-project,1.7.1,15,8,8,0,0,0,8,0
org.apache.camel:camel-hessian,org.apache.camel,camel-hessian,2.25.4,51,19,19,0,0,0,19,0
org.apache.camel:camel-management,org.apache.camel,camel-management,4.0.6,100,5,5,0,0,5,0,0
org.apache.camel:camel-jira,org.apache.camel,camel-jira,4.0.6,167,69,69,69,0,0,0,0
org.apache.beam:beam-sdks-java-io-mongodb,org.apache.beam,beam-sdks-java-io-mongodb,2.58.1,64,7,7,0,0,7,0,0
org.apache.camel:camel-mail,org.apache.camel,camel-mail,4.0.6,242,7,7,0,7,0,0,0
org.apache.activemq:artemis-cli,org.apache.activemq,artemis-cli,2.37.0,60,50,50,0,0,50,0,0
opensymphony:oscore,opensymphony,oscore,2.2.6,2,2,2,0,0,0,2,0
opensymphony:xwork,opensymphony,xwork,2.0.0-j4,24,17,17,0,17,0,0,0
org.apache.calcite:calcite-splunk,org.apache.calcite,calcite-splunk,1.37.0,40,28,28,0,28,0,0,0
org.apache.bcel:bcel,org.apache.bcel,bcel,6.10.0,17,9,9,0,0,0,9,0
org.apache.activemq:artemis-commons,org.apache.activemq,artemis-commons,2.37.0,60,8,8,0,8,0,0,0
org.apache.camel:camel-ahc,org.apache.camel,camel-ahc,3.14.10,175,52,52,0,0,52,0,0
org.apache.avro:avro,org.apache.avro,avro,1.12.0,33,32,63,0,0,31,32,0
org.apache.axis:axis,org.apache.axis,axis,1.4,1,1,5,0,3,1,1,0
org.apache.atlas:atlas-common,org.apache.atlas,atlas-common,2.3.0,16,3,15,0,10,5,0,0
org.apache.activemq:artemis-server,org.apache.activemq,artemis-server,2.37.0,60,44,44,0,44,0,0,0
org.acegisecurity:acegi-security,org.acegisecurity,acegi-security,1.0.7,10,8,8,0,8,0,0,0
org.apache.camel:camel,org.apache.camel,camel,4.0.6,232,137,137,0,0,137,0,0
org.apache.camel:camel-cassandraql,org.apache.camel,camel-cassandraql,4.0.6,169,81,81,0,0,81,0,0
org.apache.activemq:apache-artemis,org.apache.activemq,apache-artemis,2.37.0,60,34,49,0,15,34,0,0
org.alluxio:alluxio-parent,org.alluxio,alluxio-parent,2.9.6,83,61,75,0,14,0,61,0
org.apache.camel:camel-jetty,org.apache.camel,camel-jetty,4.0.6,240,77,77,0,0,77,0,0
org.apache.activemq:artemis-native,org.apache.activemq,artemis-native,2.6.4,23,16,16,0,0,16,0,0
org.apache.activemq:activemq-broker,org.apache.activemq,activemq-broker,6.1.3,69,5,13,0,5,4,4,0
org.apache.camel:camel-ldap,org.apache.camel,camel-ldap,4.0.6,237,187,187,0,0,0,187,0
org.apache.calcite.avatica:avatica-core,org.apache.calcite.avatica,avatica-core,1.25.0,17,13,13,0,0,13,0,0
org.apache.activemq:activemq-core,org.apache.activemq,activemq-core,5.7.0,16,16,46,0,46,0,0,0
org.apache.any23:apache-any23,org.apache.any23,apache-any23,2.7,13,13,45,0,13,0,32,0
org.apache.activemq:apache-activemq,org.apache.activemq,apache-activemq,6.1.3,85,74,90,0,16,74,0,0
org.apache.camel:camel-http4,org.apache.camel,camel-http4,2.25.4,124,62,62,0,0,62,0,0
