group,name,version,github_url,stars,forks,open_issues,contributors,watchers,downloads,dependencies,license,documentation,test_code,build_status,vulnerabilities,badges,website,releases,closed_issues,commit_frequency,usage
com.diffplug.gradle,goomph,0.1.0,https://github.com/diffplug/goomph,130,30,8,46,7,0,0,Apache License 2.0,,,,0,,,0,208,0,
com.epam.reportportal,service-api,5.3.1,https://github.com/reportportal/service-api/tree/master,44,65,32,54,29,0,0,Apache License 2.0,,,,0,,,11,2027,0,
com.fasterxml.woodstox,woodstox-core,5.0.0,https://github.com/FasterXML/woodstox,225,81,37,30,13,0,0,Apache License 2.0,,,,0,,,0,173,0,
com.fastasyncworldedit,FastAsyncWorldEdit-Bukkit,2.0.0,https://github.com/IntellectualSites/FastAsyncWorldEdit,610,216,70,173,26,0,0,Other,,,,0,,,41,2812,0,
com.fasterxml.jackson.core,jackson-databind,2.0.0,http://github.com/FasterXML/jackson-databind,3517,1378,487,285,169,0,0,Apache License 2.0,,,,0,,,0,4092,0,
com.fasterxml.jackson.dataformat,jackson-dataformats-text,2.9.0.pr2,http://github.com/FasterXML/jackson-dataformats-text,404,148,97,35,13,0,0,Apache License 2.0,,,,0,,,0,398,0,
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.2.0-beta1,http://github.com/FasterXML/jackson-datatype-jsr310,92,65,0,26,15,0,0,,,,,0,,,0,30,0,
com.fasterxml.util,java-merge-sort,0.6.0,http://github.com/cowtowncoder/java-merge-sort,83,31,5,7,16,0,0,Apache License 2.0,,,,0,,,0,17,0,
com.github.junrar,junrar,0.7,https://github.com/junrar/junrar.git,287,77,10,26,15,0,0,Other,,,,0,,,17,170,0,
com.github.samtools,htsjdk,1.128,https://github.com/samtools/htsjdk.git,283,243,311,145,50,0,0,,,,,0,,http://samtools.github.io/htsjdk/,83,1395,0,
com.github.kfcfans,powerjob,1.0.0,https://github.com/KFCFans/OhMyScheduler,6785,1194,274,35,123,0,0,Apache License 2.0,,,,0,,http://www.powerjob.tech/,49,725,0,
com.github.kevinsawicki,http-request,0.1,https://github.com/kevinsawicki/http-request,3354,843,85,16,227,0,0,MIT License,,,,0,,http://kevinsawicki.github.io/http-request,0,92,0,
com.github.fracpete,vfsjfilechooser2,0.2.7,https://github.com/fracpete/vfsjfilechooser2,8,9,3,3,4,0,0,Apache License 2.0,,,,0,,,1,13,0,
com.github.pagehelper,pagehelper,3.5.0,https://github.com/pagehelper/Mybatis-PageHelper.git,12193,3131,51,49,506,0,0,MIT License,,,,0,,https://mybatis.io,14,782,0,
com.github.seancfoley,ipaddress,2.0.0,https://github.com/seancfoley/IPAddress/tree/master,468,63,0,6,20,0,0,Apache License 2.0,,,,0,,https://seancfoley.github.io/IPAddress/,28,128,0,
com.github,hyavijava,1.0.0,https://github.com/hyavijava/hyavijava,4,1,0,28,0,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",,,,0,,,1,1,0,
com.glazedlists,glazedlists,1.11.0,https://github.com/glazedlists/glazedlists,168,31,149,16,14,0,0,Other,,,,0,,,5,557,0,
com.google.cloud.tools,jib-core,0.1.0,https://github.com/GoogleContainerTools/jib,13636,1436,207,120,327,0,0,Apache License 2.0,,,,0,,,161,4107,0,
com.googlecode.aviator,aviator,5.2.1,https://github.com/killme2008/aviator.git,4475,834,58,23,173,0,0,,,,,0,,http://fnil.net/aviator/,52,587,0,
com.googlecode.wicket-jquery-ui,wicket-jquery-ui-parent,6.7.0,https://github.com/sebfz1/wicket-jquery-ui.git,92,58,33,19,16,0,0,Other,,,,0,,http://www.7thweb.net/wicket-jquery-ui/,22,336,0,
com.google.protobuf,protobuf-parent,3.0.0-beta-3,https://github.com/google/protobuf,65376,15457,327,1260,2047,0,0,Other,,,,0,,http://protobuf.dev,171,18090,0,
com.graphql-java,graphql-java,1.2,https://github.com/andimarek/graphql-java,0,1,0,2,2,0,0,MIT License,,,,0,,,0,0,0,
com.h2database,h2,1.4.198,https://github.com/h2database/h2database,4186,1193,367,193,134,0,0,Other,,,,0,,https://h2database.com,23,3759,0,
com.hubspot.jinjava,jinjava,1.0.0,https://github.com/HubSpot/jinjava.git,694,169,107,116,157,0,0,Apache License 2.0,,,,0,,,12,1102,0,
com.ibeetl,beetl,2.2.5,https://github.com/javamonkey/beetl2.0.git,414,113,44,12,50,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",,,,0,,,0,358,0,
com.jason-goodwin,authentikat-jwt_2.12,0.4.4,https://github.com/jasongoodwin/authentikat-jwt.git,133,46,9,11,9,0,0,Apache License 2.0,,,,0,,,0,33,0,
