groupId,artifactId,version,githubUrl
com.diffplug.spotless,spotless-eclipse-cdt,9.4.3,https://github.com/diffplug/eclipse-cdt
com.diffplug.spotless,spotless-maven-plugin,1.0.0.BETA1,https://github.com/diffplug/plugin-maven
com.diffplug.spotless,spotless-plugin-gradle,3.0.0.BETA2,https://github.com/diffplug/plugin-gradle
com.diffplug.spotless,spotless-eclipse-groovy,2.9.2,https://github.com/diffplug/eclipse-groovy
com.diffplug.spotless,spotless-eclipse-wtp,3.9.5,https://github.com/diffplug/eclipse-wtp
com.epam.reportportal,service-api,5.3.1,https://github.com/reportportal/service-api/tree/master
com.fasterxml.woodstox,woodstox-core,5.0.0,https://github.com/FasterXML/woodstox
com.fastasyncworldedit,FastAsyncWorldEdit-Bukkit,2.0.0,https://github.com/IntellectualSites/FastAsyncWorldEdit
com.fasterxml.jackson.core,jackson-databind,2.0.0,http://github.com/FasterXML/jackson-databind
com.fasterxml.jackson.dataformat,jackson-dataformats-text,2.9.0.pr2,http://github.com/FasterXML/jackson-dataformats-text
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.2.0-beta1,http://github.com/FasterXML/jackson-datatype-jsr310
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.0.0-RC1,http://github.com/FasterXML/jackson-xml-databind
com.fasterxml.util,java-merge-sort,0.6.0,http://github.com/cowtowncoder/java-merge-sort
com.github.junrar,junrar,0.7,https://github.com/junrar/junrar.git
com.github.samtools,htsjdk,1.128,https://github.com/samtools/htsjdk.git
com.github.kfcfans,powerjob,1.0.0,https://github.com/KFCFans/OhMyScheduler
com.github.kevinsawicki,http-request,0.1,https://github.com/kevinsawicki/http-request
com.github.fracpete,vfsjfilechooser2,0.2.7,https://github.com/fracpete/vfsjfilechooser2
com.github.pagehelper,pagehelper,3.5.0,https://github.com/pagehelper/Mybatis-PageHelper.git
com.github.seancfoley,ipaddress,2.0.0,https://github.com/seancfoley/IPAddress/tree/master
com.github.wxpay,wxpay-sdk,0.0.1,https://github.com/wxpay/WXPay-SDK-Java
com.github,hyavijava,1.0.0,https://github.com/hyavijava/hyavijava
com.glazedlists,glazedlists,1.11.0,https://github.com/glazedlists/glazedlists
com.google.cloud.tools,jib-core,0.1.0,https://github.com/GoogleContainerTools/jib
com.googlecode.aviator,aviator,5.2.1,https://github.com/killme2008/aviator.git
com.googlecode.wicket-jquery-ui,wicket-jquery-ui-parent,6.7.0,https://github.com/sebfz1/wicket-jquery-ui.git
com.google.protobuf,protobuf-parent,3.0.0-beta-3,https://github.com/google/protobuf
com.graphql-java,graphql-java,1.2,https://github.com/andimarek/graphql-java
com.h2database,h2,1.4.198,https://github.com/h2database/h2database
com.hubspot.jinjava,jinjava,1.0.0,https://github.com/HubSpot/jinjava.git
com.ibeetl,beetl,2.2.5,https://github.com/javamonkey/beetl2.0.git
com.jason-goodwin,authentikat-jwt_2.12,0.4.4,https://github.com/jasongoodwin/authentikat-jwt.git
com.jfinal,jfinal,1.4.0,https://github.com/jfinal/jfinal.git
com.jsoniter,jsoniter,0.9.1,http://github.com/json-iterator/java/tree/master
com.liferay,com.liferay.portal.tools.bundle.support,3.2.7,http://github.com/liferay/liferay-portal
com.liferay.portal,release.dxp.bom,7.1.10,https://github.com/liferay/liferay-portal-ee
com.liferay.portal,release.dxp.bom,7.3.10.ep3,https://github.com/liferay/liferay-portal
com.linecorp.centraldogma,centraldogma-server-auth-saml,0.33.0,https://github.com/line/centraldogma
com.linecorp.armeria,armeria-saml,0.69.0,https://github.com/line/armeria
com.microsoft.commondatamodel,objectmodel,1.0.6,http://github.com/Microsoft/CDM
com.mapbox.mapboxsdk,mapbox-android-core,0.1.0,https://github.com/mapbox/mapbox-events-android
com.monitorjbl,xlsx-streamer,0.2.3,https://github.com/monitorjbl/excel-streaming-reader.git
com.microsoft.azure,msal4j,1.14.4-beta,https://github.com/AzureAD/microsoft-authentication-library-for-java
com.nablarch.framework,nablarch-fw-web,1.2.2,https://github.com/nablarch/workspace/tree/master
com.neovisionaries,nv-websocket-client,1.0,https://github.com/TakahikoKawasaki/nv-websocket-client.git
com.nepxion,discovery,1.0.0,https://github.com/Nepxion/Discovery
com.netflix.hollow,hollow,2.0.0,https://github.com/Netflix/hollow.git
com.netflix.conductor,conductor-core,0.0.4,https://github.com/Netflix/conductor.git
com.mysql,mysql-connector-j,8.0.31,https://github.com/mysql/mysql-connector-j
com.pubnub,pubnub-kotlin,4.0.0,https://github.com/pubnub/kotlin
com.predic8,soa-model-parent,1.5.4,https://github.com/membrane/soa-model
com.progsbase.libraries,JSON,0.3.7,https://github.com/InductiveComputerScience/JSON
com.pubnub,pubnub,3.4,https://github.com/pubnub/java
com.rabbitmq.jms,rabbitmq-jms,1.4.7,https://github.com/rabbitmq/rabbitmq-jms-client
com.schibsted.security,strongbox-sdk,0.4.0,https://github.com/schibsted/strongbox
com.sonyericsson.hudson.plugins.gerrit,gerrit-trigger,2.0,http://github.com/hudson/gerrit-trigger-plugin
com.softwaremill.akka-http-session,core_2.13,0.5.7,https://github.com/softwaremill/core
com.squareup,connect,2.0.2,https://github.com/square/connect-java-sdk/
com.squareup.okio,okio-jvm,3.0.0-alpha.10,https://github.com/square/okio/
